user_id,loan_type_other,loan_type_real_estate,total_loans
3416,20,2,22
16984,29,2,31
25944,23,1,24
30040,43,,43
13145,20,2,22
17753,32,,32
18009,20,2,22
20825,23,2,25
10330,22,3,25
24666,32,1,33
32602,25,1,26
20315,27,1,28
21339,23,1,24
14172,26,1,27
33884,24,2,26
3166,27,,27
3423,26,2,28
24415,28,2,30
33119,24,1,25
2144,22,,22
16224,22,,22
21344,27,3,30
28256,21,4,25
30816,32,1,33
31584,32,1,33
353,19,5,24
609,23,3,26
25953,23,2,25
1890,21,2,23
19042,19,4,23
21346,17,5,22
29026,21,4,25
30562,29,1,30
34146,23,,23
15971,19,3,22
23907,21,3,24
34403,23,1,24
7012,22,1,23
15460,24,1,25
20580,21,3,24
21092,27,2,29
13669,12,14,26
26213,23,4,27
31333,21,2,23
22118,23,,23
23398,39,,39
20583,20,2,22
28263,19,3,22
34663,20,3,23
35687,33,1,34
34408,21,1,22
12649,21,1,22
22889,27,2,29
20074,25,1,26
30570,20,2,22
33131,25,3,28
10348,23,4,27
10604,33,1,34
12140,26,2,28
14188,10,19,29
32108,21,3,24
35436,21,2,23
7021,22,3,25
12653,26,2,28
13678,22,1,23
17518,20,2,22
20078,26,1,27
25198,23,2,25
26990,23,1,24
8815,19,3,22
12400,21,1,22
1905,24,,24
14961,21,2,23
8562,22,1,23
10098,29,3,32
7539,27,,27
12403,17,5,22
5748,22,4,26
7284,22,3,25
14964,22,2,24
26996,21,2,23
27252,23,2,25
30836,25,2,27
3957,24,2,26
14965,23,2,25
8310,24,3,27
10358,25,,25
13430,21,3,24
17782,21,2,23
26742,24,,24
31350,24,,24
18039,23,1,24
8824,22,3,25
10104,27,,27
18808,26,2,28
21112,24,1,25
25208,27,1,28
26488,21,1,22
12153,16,6,22
20089,20,3,23
22137,14,12,26
15226,20,2,22
18554,20,2,22
30330,22,11,33
3451,21,2,23
5499,32,2,34
10107,22,1,23
15483,24,3,27
20091,28,1,29
20859,47,2,49
33660,21,6,27
35964,23,1,24
6781,22,1,23
25725,14,8,22
11134,22,1,23
14462,21,2,23
17790,20,3,23
31358,24,3,27
34430,26,,26
31615,26,1,27
32383,22,1,23
1409,24,1,25
10881,20,4,24
15489,20,2,22
16513,32,2,34
30337,23,1,24
14466,26,2,28
21634,24,1,25
23682,22,3,25
643,22,1,23
5507,16,13,29
6531,27,,27
17795,19,3,22
26755,23,2,25
7556,22,2,24
24452,21,1,22
27524,29,2,31
32388,18,5,23
33668,24,1,25
2693,24,2,26
12933,21,3,24
24965,23,1,24
8326,24,1,25
8838,27,5,32
16262,28,,28
20614,19,3,22
28550,19,4,23
11399,31,,31
27527,22,4,26
1160,28,2,30
13192,16,9,25
22408,23,2,25
31624,25,2,27
17545,23,2,25
18825,32,3,35
6795,21,4,25
9099,21,1,22
18315,20,2,22
7052,26,,26
12428,21,5,26
24204,32,3,35
30092,25,2,27
3725,24,2,26
17549,20,5,25
26253,10,15,25
8590,23,5,28
19854,24,2,26
4239,22,,22
6543,22,1,23
12175,21,5,26
25231,23,1,24
18064,19,3,22
4241,21,2,23
5265,18,4,22
6801,18,5,23
15761,21,3,24
21137,22,3,25
24721,14,12,26
35729,21,1,22
658,22,7,29
6034,20,3,23
6802,24,2,26
12690,23,3,26
25234,23,2,25
404,29,2,31
30356,23,1,24
405,22,9,31
12693,24,2,26
22933,23,,23
24469,20,2,22
8342,34,1,35
18838,20,2,22
28054,22,1,23
28566,19,4,23
3735,32,1,33
34711,23,4,27
13976,25,,25
15512,18,5,23
18328,14,9,23
21912,26,1,27
23448,33,,33
11673,23,1,24
19865,26,2,28
21145,34,1,35
21401,21,1,22
33689,17,6,23
4250,22,4,26
15770,23,2,25
18586,24,,24
29338,21,2,23
12187,30,2,32
23964,27,1,28
25500,27,2,29
33949,22,1,23
8350,31,1,32
20638,29,1,30
30366,20,2,22
32158,22,1,23
14751,21,4,25
24735,23,2,25
928,19,3,22
13984,22,,22
20128,25,1,26
27040,26,2,28
11937,34,1,35
15777,21,1,22
24737,26,4,30
26530,23,3,26
27042,23,1,24
1955,29,5,34
20387,20,2,22
23971,18,4,22
30627,25,4,29
35235,24,,24
2468,24,3,27
23204,20,2,22
29348,30,1,31
32676,20,2,22
5797,28,1,29
2726,24,2,26
10662,23,1,24
28070,21,2,23
2983,40,2,42
12711,20,2,22
27303,28,,28
32935,24,5,29
12968,19,3,22
14504,23,3,26
33960,20,2,22
35496,24,2,26
18089,20,3,23
21417,32,2,34
26793,8,18,26
28585,20,3,23
17066,21,2,23
18602,15,9,24
18858,20,2,22
22954,20,4,24
24746,22,1,23
35498,29,1,30
16043,18,8,26
7084,19,3,22
12972,29,1,30
21420,21,1,22
21676,23,1,24
8365,28,,28
27053,23,,23
6318,25,1,26
15022,23,3,26
25262,24,3,27
19119,20,2,22
31663,21,1,22
8112,40,3,43
20400,21,3,24
28336,21,1,22
7089,23,1,24
12465,28,2,30
16049,20,2,22
23217,21,2,23
16818,23,1,24
19122,28,3,31
32690,21,2,23
35506,23,1,24
4019,12,15,27
21683,23,2,25
29107,34,1,35
31923,23,2,25
180,25,,25
6580,30,1,31
9908,22,,22
11956,24,1,25
31156,24,2,26
34485,20,2,22
1462,20,2,22
22198,21,2,23
35254,20,3,23
5559,24,2,26
7607,22,2,24
15031,21,1,22
22199,37,1,38
34231,24,,24
15288,21,3,24
16568,19,3,22
27064,23,1,24
27832,21,1,22
28088,23,1,24
33208,20,2,22
16313,27,2,29
2746,24,2,26
5050,26,2,28
5306,24,5,29
5562,24,3,27
10426,22,3,25
18874,21,2,23
25530,24,1,25
32698,56,1,57
4539,25,2,27
6587,19,3,22
18107,22,,22
10684,21,1,22
12988,24,2,26
17084,22,1,23
35004,19,3,22
25789,20,2,22
30141,42,,42
33725,27,,27
12222,21,2,23
15294,22,3,25
19646,33,2,35
17343,23,2,25
24256,22,,22
35520,19,5,24
13761,21,2,23
20161,26,1,27
26305,24,1,25
10178,39,,39
23234,20,2,22
31170,23,,23
35266,28,2,30
3267,33,1,34
7363,15,8,23
16579,19,3,22
4036,22,,22
7620,23,2,25
17092,23,1,24
32196,27,,27
15813,20,4,24
19653,21,1,22
34245,13,12,25
1734,23,2,25
5318,24,2,26
33222,22,2,24
12743,26,2,28
26567,21,3,24
29383,23,1,24
1224,22,5,27
1480,18,4,22
9672,37,2,39
17608,35,4,39
1481,20,4,24
7369,27,,27
21705,24,1,25
29897,26,2,28
2250,20,2,22
5834,24,,24
26058,33,2,35
32202,24,,24
2507,28,2,30
23499,52,,52
5837,21,3,24
14542,22,2,24
17614,22,1,23
21711,36,2,38
15568,20,3,23
22736,28,1,29
1233,26,9,35
11729,24,2,26
18898,20,2,22
30162,24,,24
24275,22,2,24
25811,22,1,23
6868,25,2,27
25812,22,1,23
27604,33,2,35
9173,21,2,23
13781,23,3,26
20693,28,2,30
24021,21,2,23
30421,22,1,23
34261,25,2,27
11734,21,2,23
1752,24,2,26
6104,23,1,24
17624,23,2,25
23000,26,,26
32728,25,1,26
32984,21,2,23
21977,23,3,26
28377,23,2,25
16346,24,1,25
20698,19,3,22
21210,18,4,22
29146,21,2,23
17627,23,,23
23003,24,1,25
24283,24,2,26
34267,39,2,41
2780,19,3,22
30684,38,1,39
35548,24,1,25
9949,32,1,33
10973,23,1,24
23773,48,,48
29405,22,2,24
12254,22,2,24
13278,22,1,23
20191,22,,22
29663,20,2,22
15072,20,5,25
9953,20,2,22
12257,23,2,25
13793,22,2,24
16353,29,1,30
21985,16,11,27
30177,20,2,22
6882,28,1,29
21986,21,1,22
27618,41,2,43
995,20,3,23
8419,23,2,25
17891,23,2,25
20451,22,,22
10468,27,,27
20196,22,3,25
485,31,2,33
7909,22,,22
19429,23,1,24
10727,16,6,22
10983,23,,23
18663,24,3,27
25575,23,5,28
5864,21,4,25
6888,22,2,24
7656,20,2,22
7912,18,7,25
34024,26,1,27
4585,43,2,45
15081,27,3,30
16105,22,5,27
23529,24,1,25
2794,30,3,33
3562,21,1,22
16874,21,2,23
28138,25,1,26
34026,22,1,23
8171,30,,30
9707,25,2,27
13547,22,2,24
26603,27,,27
32491,25,3,28
2540,45,2,47
3564,21,3,24
10220,32,1,33
11500,12,11,23
22508,22,1,23
23276,24,1,25
33516,27,,27
17645,20,2,22
18669,33,1,34
27885,23,,23
29677,27,3,30
3567,21,2,23
9455,23,1,24
7152,22,1,23
23536,19,6,25
9713,20,3,23
10481,21,2,23
19953,20,3,23
33521,22,2,24
6386,22,3,25
35570,22,2,24
13555,17,5,22
28659,20,5,25
33523,21,1,22
500,24,2,26
8436,22,3,25
15604,22,2,24
17908,20,2,22
32244,33,2,35
1269,32,,32
10485,21,2,23
28661,12,10,22
29941,20,2,22
9718,26,1,27
13046,22,1,23
12791,27,2,29
2552,25,2,27
12280,20,2,22
16120,17,5,22
2041,21,2,23
3577,22,2,24
10489,22,1,23
23801,22,1,23
28921,20,2,22
1274,27,,27
11770,20,2,22
18170,21,1,22
25594,28,2,30
27898,47,2,49
14587,22,1,23
28923,22,1,23
7164,23,1,24
27644,21,2,23
31740,22,2,24
17149,25,,25
21501,30,1,31
2814,25,2,27
15358,25,,25
25342,21,1,22
8447,30,,30
15103,21,1,22
2816,1,,1
9216,1,,1
12032,1,,1
31744,1,,1
35584,1,,1
19713,1,,1
31233,1,,1
16386,1,,1
18946,1,,1
19458,1,,1
35586,1,,1
13827,1,,1
16899,1,,1
17411,1,,1
17667,1,,1
35075,1,,1
3332,1,,1
1029,1,,1
2053,1,,1
13317,1,,1
18181,1,,1
518,1,,1
2822,1,,1
7686,1,,1
16902,1,,1
19974,1,,1
20486,1,,1
6407,1,,1
30727,1,,1
4104,1,,1
7176,1,,1
32008,1,,1
5897,1,,1
14089,1,,1
16393,1,,1
18697,1,,1
25097,1,,1
18954,1,,1
19978,1,,1
28170,1,,1
29450,1,,1
35338,1,,1
6923,1,,1
10251,1,,1
33291,1,,1
22028,1,,1
30988,1,,1
1037,1,,1
4877,1,,1
29965,1,,1
35341,1,,1
25870,1,,1
12559,1,,1
17423,1,,1
19215,1,,1
6672,1,,1
8208,1,,1
13840,1,,1
20752,1,,1
32272,1,,1
3089,1,,1
10001,1,,1
10769,1,,1
12817,1,,1
17681,1,,1
19985,1,,1
21009,1,,1
25873,1,,1
5138,1,,1
23826,1,,1
10003,1,,1
14355,1,,1
16403,1,,1
32787,1,,1
3860,1,,1
16916,1,,1
19220,1,,1
20500,1,,1
33812,1,,1
1557,1,,1
7957,1,,1
9237,1,,1
10005,1,,1
24597,1,,1
2838,1,,1
8470,1,,1
16150,1,,1
21526,1,,1
25878,1,,1
28438,1,,1
2839,1,,1
21271,1,,1
536,1,,1
3608,1,,1
17688,1,,1
11033,1,,1
14873,1,,1
19481,1,,1
23577,1,,1
5402,1,,1
7962,1,,1
9754,1,,1
12314,1,,1
34842,1,,1
21531,1,,1
22555,1,,1
540,1,,1
17948,1,,1
3613,1,,1
8221,1,,1
12573,1,,1
17693,1,,1
20509,1,,1
31261,1,,1
35613,1,,1
17182,1,,1
3103,1,,1
27423,1,,1
29983,1,,1
34847,1,,1
7968,1,,1
9504,1,,1
14112,1,,1
20768,1,,1
30240,1,,1
32800,1,,1
33568,1,,1
34592,1,,1
1825,1,,1
18209,1,,1
34849,1,,1
1570,1,,1
12066,1,,1
13858,1,,1
5155,1,,1
17443,1,,1
20515,1,,1
1828,1,,1
11556,1,,1
9253,1,,1
17957,1,,1
20517,1,,1
24101,1,,1
1574,1,,1
8230,1,,1
10790,1,,1
11046,1,,1
15398,1,,1
17446,1,,1
22822,1,,1
25894,1,,1
32806,1,,1
11559,1,,1
31271,1,,1
34087,1,,1
296,1,,1
1832,1,,1
8488,1,,1
30760,1,,1
35368,1,,1
5673,1,,1
18217,1,,1
23337,1,,1
18474,1,,1
20010,1,,1
30762,1,,1
34090,1,,1
2603,1,,1
20267,1,,1
20779,1,,1
29739,1,,1
32299,1,,1
4908,1,,1
5676,1,,1
13868,1,,1
14892,1,,1
24364,1,,1
11309,1,,1
558,1,,1
6446,1,,1
6958,1,,1
35630,1,,1
10287,1,,1
20783,1,,1
32559,1,,1
35119,1,,1
14640,1,,1
32560,1,,1
9777,1,,1
28721,1,,1
17970,1,,1
18994,1,,1
33074,1,,1
24115,1,,1
34355,1,,1
34867,1,,1
5172,1,,1
26420,1,,1
29492,1,,1
1077,1,,1
2101,1,,1
9525,1,,1
29493,1,,1
34101,1,,1
20534,1,,1
3895,1,,1
17975,1,,1
21815,1,,1
22071,1,,1
24631,1,,1
1080,1,,1
1336,1,,1
1848,1,,1
7480,1,,1
3641,1,,1
19257,1,,1
19513,1,,1
22073,1,,1
34105,1,,1
34873,1,,1
33082,1,,1
12603,1,,1
14907,1,,1
25659,1,,1
27195,1,,1
34619,1,,1
12348,1,,1
13372,1,,1
17980,1,,1
19004,1,,1
23100,1,,1
35388,1,,1
15933,1,,1
16957,1,,1
21053,1,,1
6206,1,,1
7486,1,,1
22846,1,,1
27966,1,,1
14911,1,,1
17471,1,,1
3904,1,,1
9792,1,,1
28480,1,,1
6209,1,,1
21313,1,,1
26945,1,,1
3650,1,,1
11586,1,,1
13378,1,,1
17218,1,,1
17986,1,,1
26690,1,,1
1347,1,,1
12099,1,,1
14147,1,,1
15683,1,,1
27971,1,,1
34627,1,,1
7748,1,,1
9028,1,,1
15684,1,,1
24900,1,,1
26692,1,,1
4165,1,,1
11845,1,,1
34629,1,,1
35909,1,,1
19527,1,,1
584,1,,1
840,1,,1
7496,1,,1
10824,1,,1
12361,1,,1
14921,1,,1
29769,1,,1
30793,1,,1
32329,1,,1
32585,1,,1
586,1,,1
7498,1,,1
10826,1,,1
21322,1,,1
25674,1,,1
29258,1,,1
33610,1,,1
34378,1,,1
10827,1,,1
16971,1,,1
17995,1,,1
31563,1,,1
5452,1,,1
19020,1,,1
1357,1,,1
4173,1,,1
5709,1,,1
10061,1,,1
20557,1,,1
21325,1,,1
22349,1,,1
22861,1,,1
23117,1,,1
30285,1,,1
26446,1,,1
28238,1,,1
35406,1,,1
6735,1,,1
17487,1,,1
34639,1,,1
4176,1,,1
14160,1,,1
20560,1,,1
27216,1,,1
35152,1,,1
3921,1,,1
15697,1,,1
16209,1,,1
23889,1,,1
850,1,,1
10322,1,,1
18258,1,,1
26450,1,,1
35154,1,,1
1619,1,,1
10067,1,,1
19283,1,,1
26195,1,,1
30803,1,,1
32595,1,,1
5716,1,,1
7252,1,,1
24660,1,,1
27220,1,,1
29268,1,,1
2645,1,,1
11349,1,,1
26965,1,,1
27733,1,,1
31829,1,,1
32341,1,,1
33365,1,,1
2390,1,,1
17494,1,,1
32342,1,,1
343,1,,1
6231,1,,1
23383,1,,1
25175,1,,1
26455,1,,1
27479,1,,1
33111,1,,1
35415,1,,1
344,1,,1
11352,1,,1
28504,1,,1
2393,1,,1
3417,1,,1
8281,1,,1
9305,1,,1
13401,1,,1
13913,1,,1
16985,1,,1
25945,1,,1
8538,1,,1
9562,1,,1
18266,1,,1
19034,1,,1
28506,1,,1
31322,1,,1
34650,1,,1
19291,1,,1
21595,1,,1
2396,1,,1
2652,1,,1
2142,1,,1
15966,1,,1
33630,1,,1
10847,1,,1
12639,1,,1
21087,1,,1
21855,1,,1
22623,1,,1
26463,1,,1
25952,1,,1
35680,1,,1
8801,1,,1
34913,1,,1
1378,1,,1
4706,1,,1
9314,1,,1
20322,1,,1
21602,1,,1
26466,1,,1
27234,1,,1
2147,1,,1
7779,1,,1
8035,1,,1
10851,1,,1
12899,1,,1
33891,1,,1
34659,1,,1
356,1,,1
868,1,,1
1380,1,,1
2148,1,,1
9060,1,,1
9316,1,,1
9572,1,,1
18788,1,,1
101,1,,1
4197,1,,1
15973,1,,1
23141,1,,1
35429,1,,1
4710,1,,1
32614,1,,1
35686,1,,1
11111,1,,1
24679,1,,1
35175,1,,1
5480,1,,1
21352,1,,1
24680,1,,1
30824,1,,1
12905,1,,1
28265,1,,1
1386,1,,1
17258,1,,1
33898,1,,1
875,1,,1
2411,1,,1
3435,1,,1
3947,1,,1
22379,1,,1
30827,1,,1
3948,1,,1
9068,1,,1
9580,1,,1
27244,1,,1
27500,1,,1
27756,1,,1
29036,1,,1
1901,1,,1
2925,1,,1
9325,1,,1
17517,1,,1
18797,1,,1
19053,1,,1
21357,1,,1
24941,1,,1
25965,1,,1
1390,1,,1
13934,1,,1
15726,1,,1
16494,1,,1
23662,1,,1
25710,1,,1
32366,1,,1
879,1,,1
6767,1,,1
24175,1,,1
32879,1,,1
624,1,,1
9072,1,,1
10352,1,,1
14704,1,,1
24688,1,,1
35184,1,,1
2417,1,,1
9073,1,,1
10353,1,,1
32113,1,,1
15986,1,,1
17266,1,,1
24946,1,,1
27762,1,,1
34674,1,,1
25459,1,,1
30323,1,,1
33651,1,,1
2932,1,,1
14196,1,,1
26484,1,,1
34420,1,,1
12917,1,,1
24693,1,,1
25717,1,,1
7030,1,,1
15990,1,,1
23671,1,,1
14712,1,,1
19576,1,,1
27512,1,,1
22905,1,,1
29049,1,,1
1914,1,,1
4218,1,,1
4474,1,,1
14714,1,,1
23162,1,,1
379,1,,1
5243,1,,1
6011,1,,1
12923,1,,1
18555,1,,1
26235,1,,1
26747,1,,1
29819,1,,1
31867,1,,1
33659,1,,1
4732,1,,1
12668,1,,1
23164,1,,1
24700,1,,1
31612,1,,1
34428,1,,1
25469,1,,1
1918,1,,1
10622,1,,1
31614,1,,1
21887,1,,1
23679,1,,1
27519,1,,1
13184,1,,1
16768,1,,1
24960,1,,1
29312,1,,1
31360,1,,1
15745,1,,1
22145,1,,1
9858,1,,1
22402,1,,1
9347,1,,1
24963,1,,1
30851,1,,1
13956,1,,1
22404,1,,1
24196,1,,1
7557,1,,1
19845,1,,1
23685,1,,1
27781,1,,1
28293,1,,1
20870,1,,1
21895,1,,1
3208,1,,1
10120,1,,1
393,1,,1
14473,1,,1
23177,1,,1
30857,1,,1
33673,1,,1
1418,1,,1
18314,1,,1
21898,1,,1
139,1,,1
10379,1,,1
10635,1,,1
16267,1,,1
29323,1,,1
4236,1,,1
6796,1,,1
17292,1,,1
24460,1,,1
34956,1,,1
3213,1,,1
20365,1,,1
25485,1,,1
3214,1,,1
12686,1,,1
15246,1,,1
23694,1,,1
25998,1,,1
911,1,,1
1935,1,,1
6799,1,,1
21391,1,,1
24719,1,,1
31375,1,,1
7824,1,,1
32912,1,,1
3985,1,,1
7825,1,,1
9361,1,,1
10897,1,,1
12177,1,,1
14225,1,,1
17297,1,,1
31121,1,,1
6546,1,,1
17810,1,,1
22674,1,,1
29586,1,,1
5523,1,,1
11411,1,,1
24723,1,,1
35219,1,,1
6292,1,,1
8340,1,,1
23188,1,,1
25749,1,,1
12694,1,,1
14230,1,,1
30614,1,,1
35990,1,,1
1943,1,,1
3479,1,,1
5783,1,,1
17048,1,,1
21656,1,,1
31896,1,,1
32664,1,,1
1945,1,,1
20377,1,,1
25753,1,,1
22938,1,,1
34458,1,,1
17307,1,,1
5020,1,,1
5788,1,,1
7324,1,,1
13724,1,,1
17820,1,,1
21916,1,,1
14237,1,,1
17309,1,,1
19869,1,,1
21917,1,,1
2718,1,,1
19870,1,,1
20894,1,,1
10655,1,,1
17567,1,,1
20127,1,,1
416,1,,1
3232,1,,1
18080,1,,1
22688,1,,1
3745,1,,1
4513,1,,1
15009,1,,1
22177,1,,1
27809,1,,1
30369,1,,1
4002,1,,1
4258,1,,1
8610,1,,1
12706,1,,1
18594,1,,1
24994,1,,1
25250,1,,1
29602,1,,1
34466,1,,1
35490,1,,1
8099,1,,1
21411,1,,1
31139,1,,1
31651,1,,1
9380,1,,1
14500,1,,1
24484,1,,1
31652,1,,1
6309,1,,1
26021,1,,1
34469,1,,1
4774,1,,1
8870,1,,1
13734,1,,1
16806,1,,1
17574,1,,1
18342,1,,1
29862,1,,1
34982,1,,1
16551,1,,1
23719,1,,1
25767,1,,1
3496,1,,1
10408,1,,1
16552,1,,1
30120,1,,1
5801,1,,1
19881,1,,1
32681,1,,1
35241,1,,1
1450,1,,1
9898,1,,1
19370,1,,1
28330,1,,1
32682,1,,1
28075,1,,1
31147,1,,1
2988,1,,1
34476,1,,1
5037,1,,1
5805,1,,1
6061,1,,1
11693,1,,1
21421,1,,1
31661,1,,1
2478,1,,1
10670,1,,1
23214,1,,1
11695,1,,1
13743,1,,1
20399,1,,1
23215,1,,1
27567,1,,1
28847,1,,1
19376,1,,1
32176,1,,1
1457,1,,1
5041,1,,1
13745,1,,1
22193,1,,1
22705,1,,1
31409,1,,1
1714,1,,1
20658,1,,1
21938,1,,1
691,1,,1
1971,1,,1
4275,1,,1
5811,1,,1
25011,1,,1
32691,1,,1
35763,1,,1
11188,1,,1
16308,1,,1
23988,1,,1
3253,1,,1
9397,1,,1
11957,1,,1
15542,1,,1
25782,1,,1
29878,1,,1
1719,1,,1
24503,1,,1
32951,1,,1
184,1,,1
5048,1,,1
9656,1,,1
12472,1,,1
15544,1,,1
29112,1,,1
6329,1,,1
8377,1,,1
9913,1,,1
23737,1,,1
23993,1,,1
11706,1,,1
20666,1,,1
26298,1,,1
27578,1,,1
8379,1,,1
21435,1,,1
30395,1,,1
25276,1,,1
7357,1,,1
8381,1,,1
11197,1,,1
19133,1,,1
13246,1,,1
23486,1,,1
5567,1,,1
11455,1,,1
13247,1,,1
19135,1,,1
21695,1,,1
24255,1,,1
31935,1,,1
33471,1,,1
704,1,,1
15808,1,,1
4289,1,,1
8129,1,,1
24769,1,,1
28353,1,,1
33473,1,,1
14274,1,,1
20930,1,,1
25538,1,,1
30914,1,,1
33474,1,,1
2243,1,,1
6595,1,,1
31171,1,,1
3012,1,,1
10948,1,,1
18628,1,,1
22724,1,,1
26564,1,,1
2757,1,,1
4293,1,,1
15557,1,,1
20677,1,,1
32453,1,,1
35781,1,,1
15558,1,,1
17094,1,,1
17350,1,,1
30918,1,,1
19143,1,,1
21191,1,,1
29127,1,,1
7368,1,,1
8648,1,,1
33224,1,,1
3273,1,,1
22473,1,,1
1482,1,,1
16587,1,,1
22475,1,,1
19148,1,,1
24268,1,,1
29644,1,,1
35532,1,,1
2253,1,,1
16845,1,,1
17869,1,,1
21709,1,,1
32461,1,,1
17358,1,,1
21966,1,,1
33486,1,,1
17615,1,,1
20943,1,,1
30927,1,,1
31183,1,,1
16848,1,,1
18384,1,,1
34256,1,,1
722,1,,1
15058,1,,1
22482,1,,1
25042,1,,1
5843,1,,1
8659,1,,1
26067,1,,1
26579,1,,1
27859,1,,1
28371,1,,1
11476,1,,1
15572,1,,1
18132,1,,1
35796,1,,1
25045,1,,1
26325,1,,1
2262,1,,1
8662,1,,1
11990,1,,1
18390,1,,1
26582,1,,1
8407,1,,1
31703,1,,1
34263,1,,1
17880,1,,1
4569,1,,1
7641,1,,1
15321,1,,1
26073,1,,1
27097,1,,1
8666,1,,1
16090,1,,1
2011,1,,1
8411,1,,1
10715,1,,1
21979,1,,1
30427,1,,1
32731,1,,1
15836,1,,1
19164,1,,1
20956,1,,1
27612,1,,1
25821,1,,1
6622,1,,1
8414,1,,1
19678,1,,1
223,1,,1
12255,1,,1
20959,1,,1
21983,1,,1
26335,1,,1
31455,1,,1
34527,1,,1
9696,1,,1
12512,1,,1
21728,1,,1
