user_id,age,number_dependents,last_month_salary,total_loans,default_flag,more_90_days_overdue,using_lines_not_secured_personal_assets,debt_ratio
116,47,0,,4,0,0,"0,070572099",2130
117,45,0,10483,17,0,0,0,"0,374666158"
118,62,0,,4,0,0,0,0
119,63,0,9500,4,0,0,"0,04495646","0,15240501"
121,54,0,3600,11,0,0,"0,303717749","0,66953624"
122,64,0,32000,3,0,0,"0,012247902","0,001406206"
123,43,0,8804,13,0,0,"0,831026048","0,126973311"
124,45,0,,17,0,0,"0,156464409",1986
125,43,2,,2,0,0,"0,00999001",197
126,43,2,8500,7,0,0,"0,549776335","0,477002706"
127,53,0,9100,6,0,0,"0,017651972","0,26843204"
128,38,0,12800,11,0,0,0,"0,382313882"
129,57,0,6667,15,0,0,"0,135371075","0,408368326"
130,31,0,,7,0,0,"0,094190527",218
131,35,0,,3,0,0,"0,9999999",1782
132,56,0,,6,0,0,"0,066052985",1625
133,52,2,4500,11,0,0,"0,021607816","0,395023328"
134,39,2,2608,5,0,0,"0,182724252","0,129934841"
135,109,,,3,0,0,"0,24652915",318
136,50,0,7000,12,0,0,"0,093200479","0,579488644"
137,46,0,10000,2,0,0,"0,180525106","0,084591541"
138,54,1,3800,5,0,0,"0,167304475","0,595895817"
139,43,0,,1,0,0,"0,9999999",1247
140,37,2,6833,5,0,0,"0,359477533","0,44951712"
141,64,0,30452,2,0,0,0,"0,036351098"
142,49,1,4320,9,0,0,"0,56839682","0,295764869"
143,40,3,5000,9,0,0,"0,098465124","0,25814837"
144,54,0,,7,0,0,"0,895215021",1514
145,69,1,6477,11,0,0,"0,595666278","0,189719049"
146,80,0,,7,0,0,"0,004422608",17
147,54,0,4930,8,0,0,"0,288213073","0,320421821"
148,44,0,3666,9,0,0,"0,024022958","0,369784565"
149,78,0,,6,0,0,0,0
150,39,1,8452,13,0,0,"0,026509663","0,191174731"
151,59,0,15000,16,0,0,"0,04481627","0,223185121"
152,45,0,2383,3,0,1,"0,235528942","0,075083893"
153,49,2,8400,6,0,0,"0,018292846","0,28651351"
154,45,2,4300,8,0,0,"0,087607619","0,374099047"
155,44,0,1000,5,0,0,"0,020805188","0,897102897"
156,42,0,2000,5,0,0,"1,00239952","0,299350325"
157,68,1,10000,8,0,0,"0,012537002","0,00129987"
158,62,2,1500,10,0,0,"0,005512644","0,952698201"
159,32,0,10630,9,0,0,"0,613576566","0,057191233"
160,63,0,,12,0,0,"0,219654499",3511
161,25,0,4166,2,0,0,"0,133686631","0,009359251"
162,33,0,2716,7,0,0,"0,232407601","0,275303644"
163,57,0,9166,3,0,0,"0,231598459","0,048652776"
164,62,3,17750,18,0,0,"0,056999416","0,116106135"
165,59,0,10300,7,0,0,"0,589528305","0,303756917"
166,64,0,,6,0,0,"0,067784239",2148
167,39,2,5916,4,0,0,"0,9999999","0,070981917"
168,56,1,2720,10,0,1,"0,960856616","0,248805586"
170,40,0,1600,4,0,0,"0,060912152","0,010618364"
171,59,2,7000,16,0,0,"0,543800604","0,669475789"
172,50,0,5596,7,0,0,"0,457439022","0,456851885"
173,60,1,8136,11,0,0,"0,435939102","0,551185941"
174,51,1,24020,13,1,1,"0,859196167","0,142791724"
175,51,2,10728,11,0,0,"0,173771186","0,038214186"
176,72,2,4083,3,0,0,"0,246758441","0,147159647"
177,46,3,3700,6,0,0,"0,890994063","0,435557957"
178,63,0,,17,0,0,"0,025914337",1130
179,42,3,18000,9,0,0,"0,547659012","0,21193267"
180,66,0,8000,25,0,0,"0,067296896","0,153105862"
181,73,0,26500,11,0,0,"0,074727011","0,030564884"
182,51,0,,6,0,0,"0,013692447",454
183,82,0,2607,11,0,0,"0,017837002","0,677147239"
184,46,0,2000,1,0,0,"0,9999999",0
185,37,1,6777,14,0,0,"0,334188969","0,742106816"
186,55,0,,7,0,0,"0,13299659",2686
187,63,,,5,0,0,"0,012595209",533
188,63,0,4153,6,0,0,"0,026231338","0,1807896"
189,33,0,3333,5,0,0,"0,902209779","0,547390522"
190,47,4,9000,5,0,0,"0,053075411","0,381402066"
191,54,,,15,0,0,"0,25853729",803
192,82,0,9049,6,0,0,"0,099614267","0,018121547"
193,37,2,5417,15,0,0,"0,019853938","0,452934662"
194,52,0,,14,0,0,"0,460357801",2690
195,52,1,,9,0,1,"0,833817523",1775
196,53,1,5822,13,0,0,"0,029569658","0,105787395"
197,41,0,8350,11,0,0,"0,215235049","0,165489163"
198,42,2,7000,10,0,0,"0,411171434","0,550064277"
199,53,2,6300,6,0,0,"0,076162047","0,130772893"
200,40,2,3600,7,0,0,"0,29814085","0,232157734"
201,47,2,5200,6,0,0,"0,206605648","0,310709479"
202,44,4,8500,4,0,0,"0,245823389","0,12386778"
203,35,3,10000,4,0,1,"0,9999999","0,105489451"
204,34,1,4810,8,0,1,"0,547211731","0,175431303"
205,80,0,,3,0,0,0,0
206,61,0,,5,0,0,"0,008934588",965
207,54,0,,6,0,0,"0,346610558",1725
209,67,,,7,0,0,"0,00282216",1449
210,64,0,4272,10,0,0,"0,023899602","0,321085888"
211,71,0,5116,7,0,0,"0,101386246","0,064100059"
212,56,3,7000,10,0,0,"0,021529081","0,009141551"
213,66,0,887,6,0,0,"0,056129591","0,426801802"
214,76,0,,3,0,0,"0,507256748",828
215,50,0,,8,0,0,0,272
216,29,0,3975,5,0,0,"0,561234083","0,142102616"
217,48,2,6000,11,0,0,"0,371964912","0,588068655"
218,25,,,4,0,0,"0,268379729",17
219,34,0,1800,8,0,0,"0,307807683","0,118822876"
220,40,0,3750,9,0,0,"0,965968344","0,577979206"
221,68,0,3500,5,0,0,"0,063018372","0,274207369"
222,51,0,12500,4,0,0,0,0
223,23,0,1200,1,0,0,"0,9999999","0,208992506"
224,54,1,17433,4,0,0,"0,066146693","0,130836297"
225,45,3,17000,6,0,0,"0,766946087","0,058761249"
226,68,2,10772,6,0,0,"0,099152137","0,259352084"
227,56,0,12500,20,0,0,"0,181689952","0,160707143"
228,47,2,6500,15,0,0,"0,08617142","0,379941547"
229,57,1,8183,9,0,0,"0,304739052","0,365713587"
230,63,1,7427,8,0,0,"0,12344773","0,072428648"
231,77,0,1772,11,0,0,"0,571527353","0,973491258"
232,46,0,5000,5,0,0,"0,668308581","0,49310138"
233,53,0,2400,5,0,2,"0,794212219","0,433985839"
234,50,1,15000,9,0,0,"0,563864244","0,115525632"
235,38,2,10666,7,0,0,"0,291253534","0,284709853"
236,54,0,2474,10,0,0,"0,082461456","0,886868687"
237,54,1,4884,12,0,1,0,"0,261412487"
238,41,0,,6,0,0,"0,443547022",1779
239,57,0,9166,21,0,0,"0,283271754","0,495036544"
240,37,0,8584,15,0,0,"0,384871781","0,638788585"
241,41,2,4828,7,0,0,"0,174751171","0,194450197"
242,51,3,10000,20,0,0,0,"0,703029697"
243,42,0,,2,0,0,0,467
244,60,3,6284,7,0,0,"0,991152514","0,789339698"
245,78,0,12855,10,0,0,"1,010366531","0,463752334"
246,47,1,5533,11,0,0,"0,07920536","0,411817853"
247,51,0,2500,3,0,0,"0,024719011","0,007197121"
248,59,0,12451,14,0,0,"0,079803877","0,246225506"
249,75,0,,1,0,0,"0,214589891",657
250,63,0,,7,0,0,"0,014577962",983
251,48,0,10500,8,0,0,"0,082763908","0,275878488"
253,35,2,3500,2,0,0,"0,767446511","0,113396173"
254,41,2,12500,7,0,0,"0,053434037","0,452203824"
255,77,0,,5,0,0,"0,080083629",32
256,70,0,3139,6,0,0,"0,06004476","0,441082803"
257,66,1,3710,5,0,0,0,"0,722177311"
258,46,2,6000,6,0,0,0,"0,138976837"
259,35,2,3333,17,0,0,"0,397362608","0,978104379"
260,59,1,6150,4,0,0,"0,009465405","0,275890099"
261,74,0,,4,0,0,"0,176125506",283
262,27,0,1500,7,0,0,"0,07313241","0,173884077"
263,41,1,8000,11,0,0,"0,185666958","0,251218598"
264,40,0,,5,0,0,"0,143985601",1971
265,61,1,12814,7,0,0,"0,069094032","0,209754194"
266,43,,,8,0,0,0,1221
267,45,2,2145,12,0,0,"0,721986227","1,798695247"
268,88,0,0,2,0,0,"0,032748363",1373
269,38,1,8000,14,1,1,"1,092301238","0,882389701"
270,67,0,3855,12,0,0,"0,047483914","0,308350622"
271,77,0,4000,3,0,0,"0,037713208","0,009497626"
272,35,0,3200,7,0,0,"0,35097686","1,594189316"
273,24,0,2000,6,0,0,"0,788686723","0,331334333"
274,53,1,4440,10,0,0,"0,184134509","0,605944607"
275,60,2,10416,4,0,2,"0,9999999","0,198521647"
276,42,,,4,0,0,"0,071795214",1586
277,47,3,,2,0,0,"0,169951252",122
278,56,0,10000,14,0,0,"0,025084882","0,618038196"
279,64,0,981,13,0,0,"0,244349718","1,225050916"
280,21,0,4000,2,0,0,"1,107892108","0,008247938"
281,64,0,5352,8,0,0,"0,852213505","0,544367644"
282,41,1,11600,6,0,0,"0,074555164","0,252650634"
283,59,0,2539,4,0,0,"0,9999999","0,41023622"
284,88,0,1316,13,0,0,"0,179371097","3,077448747"
285,51,3,6500,10,0,0,"0,033154082","0,357944932"
286,35,0,6473,10,0,0,"0,034332618","0,289311091"
287,60,0,,12,0,0,"0,01790529",3527
288,49,2,,3,0,0,"0,035998925",36
289,76,0,2500,4,0,0,"0,025216706","0,013994402"
290,65,0,5000,13,0,0,"0,022288912","0,368926215"
291,61,0,4500,4,0,0,"0,987940125","0,149522328"
292,83,0,1972,9,0,0,"0,061115648","0,056766346"
293,63,1,13740,7,0,0,"0,013021933","0,291536278"
294,61,0,10500,11,0,0,"0,021163659","0,412627369"
295,27,0,1160,4,0,0,"1,03998334","0,434969854"
296,24,0,800,1,0,0,"0,9999999","0,61298377"
298,63,0,,5,0,0,"0,056897079",5057
299,46,0,3001,2,0,0,0,"0,269487009"
300,39,5,7700,8,0,0,"0,569553881","0,322425659"
301,62,0,9166,11,0,0,"0,517790621","0,48161885"
302,38,3,44574,7,0,0,0,"0,091127314"
303,44,1,9283,6,0,0,"0,007249819","0,220163723"
304,64,0,3139,5,0,0,"0,931213757","0,348089172"
305,27,0,2500,8,0,0,"0,004945383","0,414634146"
306,48,3,10833,16,0,0,"0,655196588","0,588702234"
307,31,1,4150,3,1,2,"0,9999999","0,678390749"
308,47,0,5502,7,0,0,"0,01259937","0,283300018"
309,81,0,,2,0,0,"0,035703734",46
310,66,0,7500,4,0,0,"0,718204489","0,482335689"
311,74,0,10119,14,0,0,"0,013655024","0,082608696"
312,69,0,1630,12,0,0,"0,00215378","0,345187002"
313,44,0,4166,9,0,0,"0,277032266","0,612191025"
314,62,0,23000,13,0,0,"0,688631487","0,0896048"
315,48,2,6110,9,0,0,"0,100017475","0,12125675"
316,50,1,125,4,0,0,"0,016161616","0,023809524"
317,75,0,4240,10,0,0,"0,292090185","0,519688753"
318,49,0,1702,3,0,0,"0,024674383","0,017028773"
319,45,2,1,15,0,0,"0,436167269","2967,5"
320,58,0,5000,8,0,0,"0,451192902","0,726054789"
321,52,2,8000,9,0,0,"0,156944907","0,346331709"
322,50,0,2800,5,0,0,"0,300336333","0,641199572"
323,34,2,6250,6,0,0,"0,347879761","0,027035674"
324,36,0,,4,0,0,"0,906690592",1126
325,55,3,4100,13,0,0,"0,01408411","0,820043892"
326,57,1,25473,18,0,0,"0,323400005","0,270746644"
327,48,0,2924,4,0,0,"0,000886898","0,142222222"
328,70,0,4237,6,0,0,"0,38654265","0,626710713"
329,33,0,11372,12,0,0,"0,091130531","0,512090038"
330,47,0,9000,14,0,0,"0,061926812","0,475836018"
331,27,0,1280,3,1,2,"0,9999999","0,470725995"
332,32,0,,6,0,0,"0,170832825",213
333,48,2,9023,5,0,0,"0,020543587","0,176196809"
334,39,2,6400,5,0,0,0,"0,434932042"
335,62,1,5500,10,0,0,"0,023827898","0,040356299"
336,48,0,5500,2,0,0,"0,748757559","0,192510453"
337,23,0,820,2,0,0,"1,070619587","0,058465286"
338,59,0,6000,10,0,0,"0,014282669","0,166305616"
339,44,0,2666,5,0,0,"0,128524765","0,396700412"
340,62,0,4000,15,0,0,"0,019522578","0,258185454"
341,67,0,5000,8,0,0,0,0
342,65,0,3000,10,0,0,"0,009038288","0,296901033"
343,50,0,3300,1,0,0,"0,9999999","0,000302939"
344,66,0,,1,0,0,"0,051765249",48
345,45,0,11900,4,0,0,"0,08562393","0,216536426"
346,59,3,45000,17,0,0,"0,667907711","0,414101909"
347,67,0,4000,16,0,0,"0,546554078","0,910272432"
349,52,2,8916,5,0,0,"0,257896293","0,485813614"
350,53,2,7500,11,0,0,"0,215889206","0,421810425"
351,64,0,,9,0,0,"0,337558869",2870
352,62,0,,4,0,0,"0,9999999",3046
353,59,0,4200,24,0,0,"0,118794604","1,383004047"
354,43,1,8500,8,0,0,"0,891310869","0,329608281"
355,64,0,,7,0,0,"0,013142254",1390
356,51,0,,1,0,0,"0,053624822",32
357,67,1,11300,8,0,0,"0,126445417","0,286080878"
358,41,2,,3,0,0,"0,9999999",241
359,63,1,3500,10,0,0,"0,035320682","0,533561839"
360,60,0,2000,3,0,0,"0,179820504","0,107446277"
361,48,3,5800,8,0,0,"0,103607841","0,337700396"
362,60,1,7800,9,0,0,"1,00189084","0,285091655"
363,61,0,,6,0,0,"0,003481224",1132
364,53,0,7116,3,0,0,"0,9999999","0,142194745"
365,60,0,4500,19,0,0,"0,078856986","0,766718507"
366,29,0,3750,8,0,0,"0,191361728","0,454012263"
367,63,5,,9,0,0,"0,192693193",664
368,31,2,9165,7,0,0,"0,416731474","0,409993454"
369,47,2,8916,10,0,0,"0,06596179","0,376135472"
370,49,5,7800,9,0,0,"0,025943844","0,337264453"
371,52,3,13587,10,0,0,"0,001462936","0,150868413"
372,53,0,1400,7,0,0,"0,669085693","0,881513205"
373,52,2,8902,18,0,1,"0,415430267","0,394810738"
374,47,1,6224,7,0,0,"0,003649939","0,179277108"
375,41,2,8328,6,0,0,"0,545514203","0,32825069"
376,55,2,5000,8,0,0,"0,287817141","0,183763247"
377,57,,,4,0,0,"1,121171771",306
378,40,0,2700,8,0,0,"0,905121825","0,415401703"
379,52,3,2540,1,0,2,"0,9999999","0,108618654"
380,34,0,4200,2,0,0,"0,9999999",0
381,31,0,5800,14,0,0,"0,261497739","0,626271333"
382,68,0,12000,7,0,0,0,"0,261394884"
383,44,0,10332,15,0,0,"0,026152385","0,279879996"
384,70,0,2083,13,0,0,"0,677576546","0,960652591"
385,54,0,851,21,0,0,"0,004874656","2,906103286"
386,53,0,2337,20,0,0,0,"0,735243798"
387,54,0,15000,20,0,0,0,"0,186454236"
388,80,0,4000,7,0,0,"0,019797308","0,006498375"
389,57,0,,2,0,0,0,26
390,38,2,3433,5,0,0,"0,206852876","0,417880023"
391,43,3,5000,6,0,0,"0,556811704","0,074785043"
392,39,2,3500,12,0,0,"0,123407088","0,871179663"
393,40,0,,1,0,0,"0,39290601",111
394,52,0,6600,9,0,0,"0,075462938","0,526889865"
395,46,2,3340,2,0,0,"0,9999999","0,006584855"
396,43,2,5000,4,0,0,5186,"0,211157768"
397,43,0,9533,15,0,0,"0,486708871","0,252884414"
398,23,0,2557,3,0,0,"0,474262869","0,011336982"
399,39,3,10054,3,0,0,"0,698762036","0,036499254"
400,51,0,,10,0,0,"0,06917806",1431
401,53,3,13000,19,0,0,"0,133573751","0,20829167"
402,25,0,,9,0,0,"0,454359518",199
403,73,0,6292,6,0,0,"0,592145127","0,496424599"
404,56,1,6700,31,0,0,"0,058924117","0,639307566"
405,69,0,,31,0,0,"0,173501732",12403
406,34,1,,2,0,0,"0,234358633",73
407,64,2,9750,6,0,0,"0,592186476","0,261614193"
408,31,0,8333,6,0,0,"0,88419487","0,288456923"
409,61,0,,11,0,0,"0,296945624",3464
410,47,0,,7,0,0,"0,088722699",2134
411,34,0,6334,4,0,0,"0,9999999","0,326124704"
412,66,1,8600,21,0,0,"0,828847396","1,008952447"
413,68,0,,9,0,0,"0,000530044",556
414,48,0,3500,5,0,0,"0,004088707","0,312196515"
415,34,0,3000,2,0,0,"0,9999999","0,124291903"
416,28,0,1785,1,0,0,"0,9999999","0,159014558"
417,58,0,,3,0,0,"0,081962822",137
418,58,0,23250,21,0,0,"0,581021466","0,418992731"
419,37,0,6506,6,0,0,"0,16131085","0,359305363"
420,60,0,,11,0,0,"0,228694714",1363
421,45,2,5000,15,0,0,"0,058859932","0,828434313"
422,78,0,3500,5,0,0,"0,055865222","0,022564981"
423,64,0,6000,8,0,0,"0,024558612","0,336277287"
424,63,2,11323,3,0,0,"0,09466071","0,085835394"
425,45,0,3516,10,0,0,"0,00089991","0,365368212"
426,40,3,16250,12,0,0,"0,180194752","0,33210264"
427,40,0,,3,0,0,"0,11019449",1774
428,57,3,6000,9,0,0,0,"0,499583403"
429,34,0,,7,0,0,"0,145804071",3404
431,43,2,6583,9,0,0,"0,889334671","0,39854192"
432,43,0,5400,7,0,0,"0,268752732","0,32790224"
433,61,0,3750,7,0,0,"0,372914193","0,530791789"
434,46,0,13333,7,0,0,"0,036961753","0,322783861"
435,87,,,4,0,0,"0,000475311",1
436,39,0,6083,7,0,0,0,"0,424391847"
437,36,2,,9,0,0,"0,437740693",1242
438,61,0,2301,3,0,0,"0,180754431","0,089487402"
439,58,2,6750,6,0,0,"0,072703899","0,514738557"
440,31,0,5350,2,0,0,"0,221889055","0,101850121"
441,68,0,6459,9,0,0,"0,184451597","0,481733746"
442,75,0,,9,0,0,"0,9999999",2591
443,45,2,11833,3,0,0,"0,407932011","0,066165286"
444,54,0,,15,0,0,"0,395045863",4824
445,36,0,,3,0,0,"0,176079734",228
446,76,0,10487,8,0,0,"0,042068789","0,005053394"
447,35,2,6666,9,0,0,"0,019282271","0,350532473"
448,54,1,7583,6,0,0,"0,535064574","0,213212025"
449,29,0,,9,0,0,0,2622
450,70,0,25000,4,0,0,"0,04559772","0,001079957"
451,68,1,23200,4,0,0,"0,077660195","0,033403733"
452,47,0,7914,5,0,0,0,"0,184965256"
453,67,0,7700,10,0,0,"0,665433364","0,221529671"
454,33,0,10784,9,0,0,"0,549049445","2,585350023"
455,27,0,3400,3,0,0,0,"0,089385475"
456,32,2,5800,8,0,0,"0,9999999","0,310980865"
457,68,0,4200,10,0,0,"0,444981709","0,425850988"
458,48,1,11000,3,0,0,"0,235850189","0,106263067"
459,64,0,3250,5,0,0,"0,385961404","0,445093817"
460,50,0,8654,2,0,0,"0,027048648","0,113460427"
461,55,0,1750,6,0,0,"0,554381521","0,29240434"
462,59,1,4050,18,0,0,"0,342646088","0,709454456"
463,53,0,7005,8,0,0,"0,411942821","0,359691693"
464,44,2,1959,4,1,2,"0,9999999","0,545918367"
465,35,0,5605,5,0,0,"0,024560377","0,255440599"
466,50,0,,18,0,0,"0,029877496",2953
467,76,1,8333,10,0,0,"0,010929724","0,428845692"
468,46,0,8200,4,0,0,"0,1141528","0,235702963"
469,52,3,10976,6,0,0,"0,262217855","0,244055753"
470,39,1,4333,11,0,0,0,"0,267651131"
471,76,0,8400,6,0,0,"0,03139843","0,275324366"
472,73,0,3653,8,0,0,"0,022716288","0,012588944"
473,37,2,2000,3,1,3,"0,9999999","0,334832584"
474,33,1,2300,17,0,0,"1,003097719","1,179487179"
475,71,0,,5,0,0,"0,759280928",899
476,44,1,15016,6,0,0,"0,005740528","0,03229673"
477,47,2,7917,18,0,0,"0,050538101","0,181358929"
478,41,1,2200,8,0,0,"0,023176062","0,274875057"
479,61,0,5427,7,0,0,"0,101020438","0,144252027"
480,50,0,,10,0,0,"0,429747208",3537
481,43,0,7933,9,0,0,"0,043279689","0,336400302"
482,46,2,10000,14,0,0,"0,038860841","0,631936806"
483,69,0,3400,13,0,0,"0,0000725","0,379888268"
484,78,0,8579,7,0,0,"0,00354682","0,058974359"
485,74,0,15916,33,0,0,"0,286344775","0,558459509"
486,62,0,9500,11,0,0,"0,085059489","0,238816967"
487,89,0,4755,9,0,0,"0,025070533","0,004415475"
488,90,1,7000,6,0,0,"0,024614122","0,856163405"
489,71,0,,6,0,0,0,2430
490,77,0,4920,11,0,0,"0,031854868","0,36476326"
491,86,0,4583,5,0,0,"0,01482988","0,389834206"
492,36,2,7500,12,0,0,"0,388697167","0,564991334"
493,82,0,,4,0,0,"0,014577454",25
494,33,2,10583,5,0,0,0,"0,059334845"
495,90,1,11000,9,0,0,"0,041238349","0,011180802"
496,73,0,4166,8,0,0,"0,035861038","0,259179266"
497,68,0,800,4,0,0,"0,095180964","0,128589263"
498,65,1,4450,6,0,0,"0,014819704","0,008312739"
499,47,2,6500,6,0,0,"0,20530962","0,190278419"
500,70,0,11348,26,0,0,"0,107761679","0,290245837"
501,31,0,3333,3,0,0,"0,250649957","0,137072585"
502,64,1,7494,14,0,0,"0,658577328","0,450033356"
503,39,3,13999,9,0,0,"0,203570137","0,132285714"
504,25,3,4200,3,0,0,"0,551448551","0,096643656"
505,58,1,17109,5,0,0,"0,060299494","0,048217417"
506,37,4,11666,2,0,0,112,"0,232450501"
507,55,0,,4,0,0,0,805
508,76,0,5977,4,0,0,"0,073734829","0,005185681"
509,57,0,,3,0,0,"0,042842297",64
510,67,0,,1,0,0,"0,9999999",0
511,55,0,5998,11,0,0,"0,232067749","0,489414902"
512,60,0,16425,8,0,0,"0,016015409","0,200840131"
513,25,0,2250,4,0,0,"0,002833097","0,231452688"
514,32,3,6584,5,0,1,"0,829056981","0,221564161"
515,62,2,9583,11,0,0,"0,012769409","0,184474124"
516,30,0,3183,7,0,0,"0,213304852","0,184359296"
517,73,,,24,0,0,"0,004134808",34
518,39,2,2656,1,0,0,"0,084791386","0,004892736"
519,25,0,2100,6,0,0,0,"0,259400286"
